phylum,class,order,family,genus,species,specificEpithet,body mass,body mass - units,original body mass,original body mass - units,metabolic rate,original metabolic rate,mass-specific metabolic rate,mass-specific metabolic rate - units
Arthropoda,Arachnida,Araneae,Salticidae,Marpissa,Marpissa bina,bina,0.000168,kg,168,mg,0.000204275,26,1.215924359,W/kg
Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,Phidippus clarus,clarus,0.00026,kg,260,mg,0.00036141,46,1.390038972,W/kg
Arthropoda,Arachnida,Araneae,Salticidae,Sarinda,Sarinda hentzi,hentzi,4.6e-06,kg,4.6,mg,1.57134840263677e-05,2,3.415974788,W/kg
Arthropoda,Arachnida,Araneae,Salticidae,Zygoballus,Zygoballus rufipes,rufipes,3e-06,kg,3,mg,4.71404520791032e-06,0.6,1.571348403,W/kg
Arthropoda,Arachnida,Trombidiformes,Tetranychidae,Tetranychus,Tetranychus cinnabarinus,cinnabarinus,4.94e-09,kg,4.94,ug,2.60722222222222e-08,0.95,5.277777778,W/kg
Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Phytoseiulus,Phytoseiulus persimilis,persimilis,8.59e-09,kg,8.59,ug,9.8785e-08,2.07,11.5,W/kg
Arthropoda,Arachnida,Araneae,Lycosidae,Pardosa,Pardosa lugubris,lugubris,2.24e-05,kg,22.4,mg,3.56625946602474e-05,1.77,1.592080119,W/kg
Arthropoda,Arachnida,Araneae,Lycosidae,Pardosa,Pardosa lugubris,lugubris,2.14e-05,kg,21.4,mg,3.25306042797243e-05,1.69,1.520121695,W/kg
Arthropoda,Arachnida,Araneae,Salticidae,Marpissa,Marpissa muscosa,muscosa,3.91e-05,kg,39.1,mg,4.95892480380877e-05,1.41,1.268267213,W/kg
Arthropoda,Arachnida,Araneae,Salticidae,Marpissa,Marpissa muscosa,muscosa,2.75e-05,kg,27.5,mg,3.58667766867778e-05,1.45,1.304246425,W/kg
Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,Pholcus phalangioideus,phalangioideus,2.76e-05,kg,27.6,mg,3.67419710119499e-05,1.48,1.331230834,W/kg
Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,Pholcus phalangioideus,phalangioideus,1.13e-05,kg,11.3,mg,1.74822989764066e-05,1.72,1.547106104,W/kg
Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,Aphonopelma anax,anax,0.01319,kg,13.19,g,0.000966184,0.16,0.073251219,W/kg
Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,Aphonopelma anax,anax,0.00778,kg,7.78,g,0.001268116,0.21,0.162996908,W/kg
Arthropoda,Arachnida,Amblypygi,Phrynichidae,Damon,Damon annulatipes,annulatipes,0.00064,kg,640,mg,0.000307682,30.22,0.480752424,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,1.44e-05,kg,0.0144,g,5e-05,0.009,3.472222222,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,2.35e-05,kg,0.0235,g,0.000104444,0.0188,4.444444444,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,1.6e-05,kg,0.016,g,6.16666666666667e-05,0.0111,3.854166667,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,1.53e-05,kg,0.0153,g,4.88888888888889e-05,0.0088,3.195352215,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,2.45e-05,kg,0.0245,g,6.33333333333333e-05,0.0114,2.585034014,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,1.72e-05,kg,0.0172,g,5.88888888888889e-05,0.0106,3.42377261,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,1.4e-05,kg,0.014,g,5.88888888888889e-05,0.0106,4.206349206,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,2.04e-05,kg,0.0204,g,7.77777777777778e-05,0.014,3.812636166,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,1.55e-05,kg,0.0155,g,4.77777777777778e-05,0.0086,3.082437276,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Metazygia,Metazygia rogenhoferi,rogenhoferi,1.79e-05,kg,0.0179,g,6.38888888888889e-05,0.0115,3.56921167,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,3.43e-05,kg,0.0343,g,6.05555555555556e-05,0.0109,1.765468092,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,3.01e-05,kg,0.0301,g,4.05555555555556e-05,0.0073,1.34736065,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.48e-05,kg,0.0248,g,4.77777777777778e-05,0.0086,1.926523297,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.86e-05,kg,0.0286,g,5.11111111111111e-05,0.0092,1.787101787,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,5.11e-05,kg,0.0511,g,0.000118333,0.0213,2.315720809,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,5.32e-05,kg,0.0532,g,6.11111111111111e-05,0.011,1.148705096,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,3.48e-05,kg,0.0348,g,4.33333333333333e-05,0.0078,1.245210728,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.42e-05,kg,0.0242,g,3.22222222222222e-05,0.0058,1.331496786,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.8e-05,kg,0.028,g,3.5e-05,0.0063,1.25,W/kg
