"continent" "status" "order" "family" "genus" "species" "mass.grams"
"1" "AF" "extant" "Artiodactyla" "Bovidae" "Addax" "nasomaculatus" 70000.3
"2" "AF" "extant" "Artiodactyla" "Bovidae" "Aepyceros" "melampus" 52500.1
"3" "AF" "extant" "Artiodactyla" "Bovidae" "Alcelaphus" "buselaphus" 171001.5
"4" "AF" "extant" "Artiodactyla" "Bovidae" "Ammodorcas" "clarkei" 28049.8
"5" "AF" "extant" "Artiodactyla" "Bovidae" "Ammotragus" "lervia" 48000
"6" "AF" "extant" "Artiodactyla" "Bovidae" "Antidorcas" "marsupialis" 39049.9
"7" "AF" "extinct" "Artiodactyla" "Bovidae" "Antidorcas" "bondi" 34000
"8" "AF" "extinct" "Artiodactyla" "Bovidae" "Antidorcas" "australis" 40000
"9" "AF" "extant" "Artiodactyla" "Bovidae" "Bos" "taurus" 9e+05
"10" "AF" "extant" "Artiodactyla" "Bovidae" "Capra" "walie" 1e+05
"11" "AF" "extant" "Artiodactyla" "Bovidae" "Capra" "ibex" 100999.7
"12" "AF" "extant" "Artiodactyla" "Bovidae" "Capra" "nubiana" 78999.7
"13" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "weynsi" NA
"14" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "dorsalis" 20000
"15" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "leucogaster" 12699.9
"16" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "monticola" 6250
"17" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "natalensis" 12000
"18" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "niger" 20400
"19" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "nigrifrons" 13899.8
"20" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "rubidus" 15000
"21" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "silvicultor" 72500.3
"22" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "jentinki" 70000.3
"23" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "zebra" 17500.1
"24" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "adersi" 9250
"25" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "callipygus" 18249.9
"26" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "harveyi" 14500.1
"27" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "maxwellii" 12000
"28" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "ogilbyi" 20000
"29" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "rufilatus" 12000
"30" "AF" "extant" "Artiodactyla" "Bovidae" "Cephalophus" "spadix" 56000.3
"31" "AF" "extant" "Artiodactyla" "Bovidae" "Connochaetes" "gnou" 179999
"32" "AF" "extant" "Artiodactyla" "Bovidae" "Connochaetes" "taurinus" 179999
"33" "AF" "extant" "Artiodactyla" "Bovidae" "Damaliscus" "pygargus" 102000
"34" "AF" "extant" "Artiodactyla" "Bovidae" "Damaliscus" "hunteri" 80000
"35" "AF" "extant" "Artiodactyla" "Bovidae" "Damaliscus" "lunatus" 136000.3
"36" "AF" "extant" "Artiodactyla" "Bovidae" "Dorcatragus" "megalotis" 10249.9
"37" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "cuvieri" 25000
"38" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "dama" 72999.5
"39" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "rufifrons" 26999.8
"40" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "dorcas" 23000.1
"41" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "dorcas" 23000.1
"42" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "gazella" 22499.9
"43" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "spekei" 20000
"44" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "leptoceros" 22200
"45" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "granti" 54999.7
"46" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "soemmerringii" 40000
"47" "AF" "extant" "Artiodactyla" "Bovidae" "Gazella" "thomsonii" 20499.8
"48" "AF" "extinct" "Artiodactyla" "Bovidae" "Gazella" "atlantica" 44500
"49" "AF" "historical" "Artiodactyla" "Bovidae" "Gazella" "rufina" 40000
"50" "AF" "extant" "Artiodactyla" "Bovidae" "Hippotragus" "equinus" 269997.7
