time (h),No 36-1,No 36-2,No 36-3,No 36-4,No 36-5,No 36-6,No 36-7,No 36-8,No 36-9,No 36-10,No 36-11,No 36-12
0.5,0.001,0,0,0,0.002,0.001,0.001,0,0.001,0.001,0.001,0
1,0.001,0,0,0,0.002,0.001,0.001,0,0.001,0,0.001,0
1.5,0.001,0.001,0,0.001,0.002,0.001,0.001,0,0.001,0,0.001,0
2,0.002,0.001,0.001,0.001,0.003,0.002,0.001,0,0.001,0,0.002,0
2.5,0.003,0.002,0.002,0.002,0.004,0.003,0.001,0,0.001,0,0.002,0
3,0.005,0.005,0.004,0.005,0.006,0.005,0.001,0,0.001,0.001,0.002,0
3.5,0.01,0.01,0.009,0.01,0.01,0.011,0.002,0.001,0.002,0.001,0.002,0.001
4,0.02,0.022,0.018,0.021,0.02,0.022,0.003,0.002,0.003,0.002,0.004,0.002
4.5,0.04,0.043,0.037,0.043,0.039,0.045,0.005,0.004,0.005,0.005,0.006,0.005
5,0.079,0.087,0.075,0.088,0.077,0.089,0.009,0.01,0.009,0.01,0.011,0.01
5.5,0.149,0.162,0.142,0.164,0.144,0.165,0.018,0.02,0.018,0.021,0.02,0.021
6,0.22,0.241,0.214,0.241,0.215,0.243,0.036,0.042,0.037,0.043,0.039,0.043
6.5,0.316,0.348,0.309,0.349,0.31,0.349,0.069,0.08,0.071,0.082,0.075,0.081
7,0.423,0.469,0.414,0.471,0.416,0.471,0.119,0.138,0.122,0.142,0.127,0.14
7.5,0.499,0.552,0.494,0.56,0.497,0.558,0.186,0.222,0.189,0.231,0.199,0.226
8,0.557,0.614,0.553,0.621,0.555,0.62,0.284,0.335,0.288,0.342,0.298,0.337
8.5,0.6,0.677,0.596,0.683,0.6,0.681,0.402,0.465,0.403,0.474,0.414,0.471
9,0.648,0.735,0.642,0.74,0.647,0.737,0.492,0.564,0.5,0.565,0.505,0.569
9.5,0.692,0.786,0.686,0.788,0.691,0.784,0.56,0.634,0.569,0.637,0.575,0.643
10,0.728,0.82,0.723,0.823,0.728,0.82,0.617,0.687,0.628,0.69,0.632,0.699
10.5,0.765,0.843,0.759,0.849,0.762,0.843,0.662,0.744,0.672,0.747,0.677,0.756
11,0.791,0.855,0.79,0.865,0.791,0.859,0.705,0.789,0.718,0.795,0.72,0.801
11.5,0.808,0.864,0.809,0.872,0.808,0.868,0.745,0.823,0.755,0.833,0.758,0.837
12,0.812,0.866,0.815,0.871,0.816,0.871,0.777,0.846,0.785,0.856,0.787,0.858
12.5,0.814,0.868,0.818,0.875,0.819,0.875,0.802,0.851,0.805,0.86,0.804,0.864
13,0.816,0.872,0.82,0.879,0.822,0.877,0.807,0.851,0.807,0.857,0.805,0.864
13.5,0.819,0.876,0.825,0.884,0.825,0.88,0.808,0.854,0.809,0.858,0.805,0.865
14,0.821,0.879,0.828,0.884,0.828,0.884,0.808,0.852,0.81,0.857,0.805,0.867
14.5,0.821,0.879,0.829,0.888,0.83,0.887,0.808,0.853,0.81,0.862,0.806,0.871
15,0.822,0.882,0.829,0.89,0.831,0.889,0.809,0.853,0.809,0.865,0.805,0.871
15.5,0.824,0.883,0.829,0.89,0.831,0.89,0.807,0.858,0.807,0.869,0.803,0.877
16,0.824,0.883,0.829,0.89,0.83,0.889,0.805,0.859,0.803,0.871,0.799,0.879
16.5,0.823,0.882,0.827,0.888,0.828,0.888,0.801,0.86,0.798,0.872,0.793,0.879
17,0.821,0.881,0.826,0.887,0.827,0.885,0.799,0.863,0.795,0.874,0.791,0.882
17.5,0.821,0.879,0.824,0.885,0.825,0.884,0.794,0.869,0.789,0.877,0.783,0.886
18,0.82,0.876,0.821,0.881,0.823,0.881,0.789,0.876,0.783,0.881,0.776,0.893
18.5,0.817,0.873,0.818,0.878,0.82,0.877,0.786,0.888,0.778,0.89,0.77,0.906
19,0.814,0.87,0.814,0.875,0.817,0.874,0.785,0.905,0.774,0.904,0.766,0.925
19.5,0.809,0.867,0.808,0.871,0.812,0.87,0.786,0.923,0.773,0.923,0.764,0.94
20,0.804,0.863,0.804,0.868,0.808,0.866,0.792,0.929,0.773,0.936,0.765,0.943
20.5,0.8,0.86,0.799,0.864,0.803,0.863,0.798,0.932,0.777,0.939,0.769,0.954
21,0.795,0.856,0.795,0.859,0.798,0.858,0.808,0.971,0.784,0.953,0.775,0.985
21.5,0.79,0.852,0.79,0.855,0.794,0.853,0.82,0.971,0.794,0.98,0.786,0.981
22,0.786,0.847,0.786,0.851,0.789,0.849,0.833,0.963,0.806,0.978,0.798,0.974
22.5,0.781,0.843,0.781,0.846,0.785,0.845,0.834,0.956,0.813,0.973,0.808,0.968
23,0.776,0.839,0.776,0.843,0.78,0.84,0.833,0.952,0.81,0.967,0.807,0.964
23.5,0.77,0.836,0.77,0.839,0.775,0.837,0.87,0.949,0.829,0.963,0.821,0.963
24,0.767,0.832,0.765,0.836,0.771,0.833,0.868,0.948,0.847,0.96,0.845,0.963
24.5,0.762,0.829,0.76,0.833,0.767,0.83,0.856,0.946,0.837,0.957,0.836,0.961
